Jastrowie,53.4080555556,16.7980555556
Gdynia Chylonia,54.5455555556,18.4638888889
Łódź Kaliska,51.7579722222,19.4296666667
Strzelce Opolskie,50.5167222222,18.3064166667
Nowe Miasto Lubawskie,53.4313888889,19.5880555556
Warszawa Olszynka Grochowska,52.2497222222,21.1069444444
Warszawa Gocławek,52.2369444444,21.1352777778
Ciechanów,52.8836111111,20.5908333333
Końskie,51.1913888889,20.4222222222
Biecz,49.7322222222,21.2630555556
Warszawa Anin,52.2136111111,21.1591666667
Warszawa Międzylesie,52.2038333333,21.1691666667
Warszawa Radość,52.18575,21.18725
Katowice Załęże,50.2636338,18.9904261
Hrubieszów Miasto,50.7969444444,23.9086111111
Włocławek,52.6527777778,19.0586111111
Tama Brodzka,53.2797222222,19.4680555556
Jelenia Góra Sobieszów,50.8519444444,15.6455555556
Jelcz Laskowice,51.0372222222,17.345
Warszawa Miedzeszyn,52.1725833333,21.2004166667
Warszawa Falenica,52.1620277778,21.2109722222
Warszawa Toruńska,52.2916666667,21.0133333333
Ciechanów Przemysłowy,52.8636111111,20.6161111111
Dąbie nad Nerem,52.1042,18.8603916667
Lipie Góry,52.284825,18.7510972222
Babiak,52.3533333333,18.6702777778
Barłogi,52.2161111111,18.7686111111
Kłodawa,52.2272222222,18.8925
Turzynów,52.2305555556,19.0291666667
Budki Nowe,52.2444444444,18.5611111111
Kokotek,50.5980555556,18.6619444444
Lisowice,50.6827,18.6305
Szczytno,53.5605555556,20.9966666667
Grudziądz,53.4822222222,18.7611111111
Dąbrowa Białostocka,53.6551111111,23.3619166667
Teresin Niepokalanów,52.2022222222,20.4138888889
Góra Śląska,51.6744444444,16.5438888889
Olsztyn Główny,53.7875,20.5075
Tarnów,50.0052777778,20.9752777778
Bielsko-Biała Główna,49.8297388889,19.0448972222
Warszawa Żerań,52.3136111111,20.9994444444
Warszawa Płudy,52.3350555556,20.9853611111
Warszawa Choszczówka,52.3576944444,20.9725
Opole Groszowice,50.6361111111,17.9552777778
Czechowice-Dziedzice,49.9148944444,19.0052444444
Pasym,53.6313888889,20.7658333333
Basznia,50.1790555556,23.2509527778
Tolkmicko,54.3213888889,19.5222222222
Wronki,52.705,16.3855555556
Warszawa Kasprzaka,52.2297222222,20.9577777778
Warszawa Koło,52.2391666667,20.9586111111
Warszawa ZOO,52.2636111111,21.0177777778
Jelenia Góra Zachodnia,50.9005555556,15.7205555556
Terespol Pomorski,53.4086111111,18.3480555556
Bukowno,50.2638888889,19.4616666667
Gdynia Leszczynki,54.5413888889,18.4783333333
Trzcianka,53.0333583333,16.46585
Olsztyn Zachodni,53.7780583333,20.4673888889
Gdynia Rzeźnia,54.5535277778,18.4675
Gdynia Pogórze,54.5541666667,18.4866666667
Gdynia Obłuże Leśne,54.5501388889,18.5025
Wałcz,53.2747222222,16.4844444444
Gutkowo,53.8086111111,20.4005555556
Gdynia Obłuże,54.5461111111,18.52
Wałbrzych Miasto,50.7852888889,16.2841888889
Gdynia Port Oksywie,54.5425,18.5430555556
Starogard Gdański,53.9775,18.5263888889
Starogard Gdański Przedmieście,53.9638944444,18.5515527778
Łódź Żabieniec,51.7935555556,19.4068611111
Rogoźno Wielkopolskie,52.7544444444,16.9716666667
Mońki,53.4026944444,22.7961638889
Bielsko-Biała Lipnik,49.8141666667,19.0495833333
Wołczyn,51.0133333333,18.0477777778
Warszawa Powiśle,52.2331944444,21.0265
Warszawa Stadion,52.2444444444,21.0438888889
Warszawa Gołąbki,52.2080555556,20.8625
Ełk,53.8256916667,22.3611138889
Kamień Pomorski,53.9661111111,14.7738888889
Katowice Zawodzie,50.2572222222,19.0580555556
Międzyrzec Podlaski,51.9758333333,22.7869444444
Jarosław,50.0108888889,22.6774444444
Wolin Pomorski,53.8486111111,14.6097222222
Surochów,50.0128333333,22.769
Kaplisze,50.1647222222,23.3083333333
Jelcz-Miłoszyce,51.0444444444,17.3061111111
Mielec,50.2927777778,21.4294444444
Warszawa Ursus Północny,52.2055555556,20.8897222222
Warszawa Rakowiec,52.1966666667,20.9663888889
Wałbrzych Główny,50.7434194444,16.2820888889
Piła Główna,53.1430555556,16.7441666667
Zakrzów Kotowice,51.0355555556,17.2094444444
Bydgoszcz Bielawy,53.1319444444,18.0533333333
Jaworzno Szczakowa,50.2463888889,19.2972222222
Wrocław Mikołajów,51.1152777778,16.9980555556
Toruń Wschodni,53.0272222222,18.6347222222
Częstochowa Stradom,50.7975833333,19.1073333333
Głowno,51.9615555556,19.7025833333
Legnica,51.2138888889,16.1697222222
Zgorzelec Miasto,51.1530944444,15.0203027778
Bielawa Wschodnia,50.6969444444,16.6355555556
Bielawa Zachodnia,50.6861111111,16.6072222222
Warszawa Służewiec,52.1802777778,20.9869444444
Dzierżoniów Śląski,50.72462,16.64057
Chojnów,51.2777638889,15.9375138889
Warszawa Okęcie,52.1669444444,20.9875
Żywiec,49.68,19.1861111111
Warszawa Dawidy,52.1286111111,20.9911111111
Warszawa Jeziorki,52.1094444444,20.9933333333
Herby Stare,50.7475,18.8816666667
Łowicz Główny,52.1061111111,19.9544444444
Łowicz Przedmieście,52.0931111111,19.9471111111
Zakopane,49.3011111111,19.9627777778
Międzyzdroje,53.9238888889,14.4544444444
Gniezno,52.5294444444,17.6044444444
Świnoujście Port,53.9052777778,14.2686111111
Bydgoszcz Leśna,53.1438888889,18.0322222222
Wrocław Muchobór,51.1105555556,16.975
Sieniawa Lubuska,52.3530555556,15.3663888889
Olecko,54.0382388889,22.4918
Warszawa Wola Grzybowska,52.2528027778,21.2508527778
Basznia Dolna,50.1912694444,23.2087888889
Lipie Śląskie,50.6797222222,18.6463888889
Antonin,51.5136111111,17.86
Warszawa Śródmieście WKD,52.2277777778,21.0005555556
Warszawa Zachodnia WKD,52.2194444444,20.9655555556
Kościerzyna,54.1205555556,17.9952777778
Sanok,49.5532222222,22.2108333333
Miastko,53.9975,16.9658333333
Pamiątkowo,52.5530555556,16.6858333333
Szprotawa,51.57,15.5436111111
Starachowice Wschodnie,51.0418055556,21.0793888889
Biskupice Oławskie,50.9932027778,17.5178194444
Kalisz Pomorski,53.2772222222,15.8811111111
Minkowice Oławskie,50.9930555556,17.5177777778
Kopalina,51.0204027778,17.4076555556
Gryfino,53.2530555556,14.4875
Okonek,53.5197222222,16.8305555556
Kudowa-Zdrój,50.4298472222,16.2445083333
Kostrzyn,52.5915277778,14.6472222222
Wejherowo Śmiechowo,54.6019444444,18.2738888889
Radomsko,51.0747222222,19.4380555556
Wieleń Północny,52.9072222222,16.1797222222
Bednary,52.1052777778,20.0638888889
Opoczno,51.3733333333,20.2697222222
Warszawa Reduta Ordona,52.2144444444,20.9480555556
Krobica,50.9311111111,15.3519444444
Pilawa,51.9566666667,21.5325
Warszawa Aleje Jerozolimskie WKD,52.2055555556,20.9422222222
Bolesławiec Wschód,51.2630555556,15.5755555556
Bochnia,49.97735,20.4321138889
Warszawa Raków,52.1944444444,20.9358333333
Zagórz,49.5136111111,22.2644444444
Warszawa Salomea,52.1863888889,20.9244444444
Krynica-Zdrój,49.41,20.9575
Brzeg,50.8533583333,17.4707472222
Jelenia Góra Orle,50.87,15.6888888889
Kowary,50.7975055556,15.8277916667
Kowary Ściegny,50.7909,15.8089944444
Kowary Średnie,50.7858472222,15.8419583333
Kowary Górne,50.7729027778,15.8562972222
Kowary Zdrój,50.7883388889,15.8277944444
Ulikowo,53.3486111111,15.1175
Gryfice,53.9097222222,15.1894444444
Kościan,52.0788888889,16.6419444444
Brzeg Dolny,51.2666083333,16.7258805556
Żyrardów,52.0525,20.4491666667
Nowogrodziec,51.190575,15.3919555556
Lwówek Śląski,51.1094444444,15.5933333333
Lubin Górniczy,51.395,16.1930555556
Uhowo,53.0039972222,22.9085222222
Stare Juchy,53.9249388889,22.1693611111
Sopot,54.4408333333,18.5622222222
Azory,52.2415277778,19.3029722222
Drzewica,51.4386111111,20.4630555556
Gręboszów,51.065,17.8013888889
Szczecin Dąbie,53.3913888889,14.6702777778
Bielsko-Biała Leszczyny,49.7966666667,19.0611111111
Bielsko-Biała Wapienica,49.8111444444,18.9807444444
Aleksandrów Kujawski,52.8755555556,18.6969444444
Tychy,50.1363888889,18.9641666667
Szczecin Gumieńce,53.3979722222,14.4943333333
Szczecin Port Centralny,53.4128769,14.5663603
Stalowa Wola Rozwadów,50.5927777778,22.0388888889
Szczecin Załom,53.4288888889,14.7430555556
Międzyrzecz,52.4455555556,15.5922222222
Szczecin Zdroje,53.3786111111,14.6363888889
Szczecin Zdunowo,53.3827777778,14.7672222222
Zamość,50.7136111111,23.2391777778
Szczecin Pomorzany,53.4136111111,14.5305555556
Maków Podhalański,49.7263888889,19.6797222222
Pruszków,52.1680555556,20.7986111111
Chotyłów,51.9966666667,23.3580555556
Jasło,49.7375,21.4711111111
Kalisz,51.7427777778,18.0716666667
Zebrzydowice,49.8697222222,18.6247222222
Piastów,52.1821277778,20.8420194444
Szczecin Turzyn,53.4291666667,14.5283333333
Wąbrzeźno,53.2636111111,18.9808333333
Choszczno,53.1647222222,15.4036111111
Ścinawa,51.4094527778,16.4211166667
Szczecin Pogodno,53.4383333333,14.5230555556
Bełchów,52.0263888889,20.0333333333
Będzin Ksawera,50.3305555556,19.1575
Szczecin Łękno,53.4477777778,14.5227777778
Lewin Brzeski,50.7575027778,17.6164138889
Szczecin Niebuszewo,53.4482805556,14.5541333333
Świdnica Miasto,50.8410861111,16.4819916667
Świnoujście,53.9047222222,14.2666666667
Kętrzyn,54.0724444444,21.3863888889
Bogoniowice Ciężkowice,49.7982472222,20.9765055556
Rzezawa,49.9844444444,20.5108333333
Suwałki,54.1065583333,22.9421583333
Chojna,52.9633611111,14.44435
Grodzisk Mazowiecki Radońska,52.1002777778,20.6277777778
Milanówek Grudów,52.1222222222,20.6816666667
Szczecin Drzetowo,53.4495555556,14.5697388889
Ustrzyki Dolne,49.4288888889,22.5969444444
Koniecpol,50.7763888889,19.6997222222
Zalesie Górne,52.0266666667,21.0419444444
Ozimek,50.6697222222,18.2091666667
Rybnik,50.0891694444,18.5472833333
Kłodzko Miasto,50.4358361111,16.6586111111
Opole Zachodnie,50.6602777778,17.8933333333
Czarnocin,51.5923055556,19.7227777778
Baborówko,52.5825,16.6266666667
Pisz,53.6316666667,21.7888888889
Piechowice Dolne,50.8502777778,15.6158333333
Blachownia,50.7733888889,18.9680444444
Ostróda,53.6997222222,19.9527777778
Włoszczowa Północ,50.8530555556,19.9447222222
Grodzisk Mazowiecki,52.1097222222,20.6216666667
Łódź Chojny,51.7264,19.484403
Łódź Olechów Wiadukt,51.7241666667,19.5533333333
Łódź Niciarniana,51.7666666667,19.5075555556
Świnoujście Warszów,53.9013888889,14.2861111111
Świnoujście Przytór,53.8972222222,14.3372222222
Lubań Śląski,51.1116666667,15.2936111111
Mosina,52.2411111111,16.8522222222
Łódź Andrzejów Szosa,51.7382777778,19.6131388889
Łódź Stoki,51.7769722222,19.5098333333
Łódź Andrzejów,51.7405555556,19.6180555556
Łódź Arturówek,51.8143055556,19.4585
Łódź Kaliska Towarowa<br />Łódź Karolew,51.7436111111,19.4363888889
Gogolin,50.4930555556,18.0189722222
Częstochowa Raków,50.78775,19.1554166667
Stróże,49.6525,20.9775
Dąbroszyn,52.6191666667,14.7130555556
Świnoujście Główne,53.9008333333,14.2355555556
Świebodzice,50.8599833333,16.3327527778
Mieszkowice,52.7819555556,14.4855694444
Warszawa Główna Osobowa,52.2258333333,20.9858333333
Wrocław Osobowice,51.1663472222,16.9974972222
Wrocław Różanka Ładownia,51.1430583333,17.028075
Wrocław Pracze,51.1692277778,16.9036611111
Wrocław Żerniki,51.1261833333,16.915625
Wrocław Leśnica,51.1430555556,16.8658333333
Wrocław Psie Pole,51.1504166667,17.1191694444
Godków,52.9002777778,14.4588888889
Ustroń,49.727925,18.8029277778
Czempiń,52.1394444444,16.7527777778
Bielsko-Biała Aleksandrowice,49.8169444444,19.0044444444
Chorzów Miasto,50.2983333333,18.9497222222
Ustroń Polana,49.6969166667,18.8298888889
Nidzica,53.3583333333,20.4141666667
Zawiercie,50.4808333333,19.4230555556
Kuźnia Raciborska,50.2011111111,18.2986111111
Głogów,51.6705555556,16.0763888889
Pniewy Szamotulskie,52.5155555556,16.2605555556
Chełmża,53.1847222222,18.5988888889
Legionowo,52.4001388889,20.9435
Częstochowa Gnaszyn,50.7916666667,19.02875
Sławno,54.3558333333,16.6719444444
Przysucha,51.3777777778,20.6588888889
Częstochowa Aniołów,50.8353333333,19.1515888889
Krasiejów,50.6680555556,18.25
Polanica-Zdrój,50.3977777778,16.5144444444
Łazy,50.43,19.3919444444
Sandomierz,50.6602777778,21.7652777778
Chełm,51.1408333333,23.4944444444
Jordanów,49.6369444444,19.8319444444
Augustów,53.8521583333,23.0273611111
Stalowa Wola Południe,50.5447777778,22.0791111111
Widuchowa,53.1236194444,14.4461111111
Żarów,50.9388888889,16.4905555556
Jaśkowice Legnickie,51.2150111111,16.3128
Imbramowice,50.9633333333,16.5788888889
Łódź Radogoszcz,51.8031666667,19.4776388889
Nekla,52.3541666667,17.4011111111
Świnoujście Nieradków,53.9125,14.2386111111
Gałkówek,51.7296666667,19.7283611111
Stalowa Wola,50.5626944444,22.0608055556
Ustroń Zdrój,49.7211944444,18.8157222222
Żakowice,51.7325277778,19.7918055556
Świdnica Przedmieście,50.8349444444,16.5040277778
Świdnica Kraszowice,50.8146944444,16.4923888889
Koniecpol Magdasz,50.7727777778,19.6530555556
Malichy,52.1694444444,20.8408333333
Zdzieszowice,50.4226388889,18.1256388889
Kołobrzeg,54.1822222222,15.5697222222
Oleśnica Rataje,51.2152972222,17.3641833333
Podlesie,50.765,19.6036111111
Ptusza,53.3641666667,16.7833333333
Jarosty,51.4611666667,19.6931111111
Opole Grotowice,50.6158333333,17.9722222222
Skarżysko Milica,51.1081305556,20.8507638889
Bydgoszcz Zachód,53.1355555556,17.9505555556
Janinów,51.0561111111,18.6047222222
Nowa Wieś Poznańska,52.3988888889,17.0461111111
Bojary,53.0284722222,22.9508333333
Kadyny,54.2975083333,19.4736361111
Sulejówek Miłosna,52.2408333333,21.2975
Daleszewo Gryfińskie,53.3058444444,14.5288194444
Solec Kujawski,53.0783333333,18.2258333333
Oleśnica,51.2008333333,17.3858333333
Kędzierzyn-Koźle Przystanek,50.3508333333,18.1561111111
Łuków,51.9413888889,22.3897222222
Białowieża Towarowa,52.6875,23.88
Krzywizna,51.0269444444,18.2016666667
Muszyna,49.3458444444,20.8933583333
Czarna Woda,53.8496944444,18.1068333333
Rudniki koło Częstochowy,50.8780555556,19.2325
Kalisz Szczypiorno,51.7266666667,18.0275
Mrozy,52.1646277778,21.8030111111
Duszniki-Zdrój,50.4086111111,16.3858333333
Bytom,50.3433583333,18.9151111111
Augustów Port,53.8582388889,23.0104388889
Wisła Dziechcinka,49.6473055556,18.8654166667
Piwniczna,49.4316722222,20.7161361111
Zbydniów,50.6347222222,21.9205555556
Wisła Uzdrowisko,49.6585277778,18.8546111111
Wieluń,51.2236111111,18.5816666667
Wodzisław Śląski,50.0077777778,18.4763888889
Puszczykówko,52.2719444444,16.8630555556
Żary,51.6344444444,15.1380555556
Skierniewice,51.9674722222,20.1503888889
Mrągowo,53.8594666667,21.2958444444
Tarnowskie Góry,50.4466666667,18.8641666667
Myszków,50.5741666667,19.3288888889
Byczyna Kluczborska,51.114111,18.200075
Libiąż,50.1125,19.3277777778
Płock Radziwie,52.5236111111,19.6719444444
Gogolewo,53.3722222222,15.1766666667
Słupca,52.2866666667,17.8525
Grabiny,50.0458333333,21.335
Kotuń,52.1762333333,22.0671555556
Wałki,50.0547222222,21.1583333333
Czarna Tarnowska,50.0602777778,21.2486111111
Dębica,50.0541666667,21.405
Sitkówka-Nowiny,50.8183333333,20.5502777778
Pogorzel Warszawska,52.0976277778,21.3342583333
Krosno Polanka,49.7013888889,21.7225
Górażdże,50.528,18.0032222222
Munina,49.9891666667,22.7197222222
Gdańsk Wiślany,54.3861166667,18.6602777778
Niekłonice,54.1536111111,16.1477777778
Jasice,50.8522222222,21.6272222222
Poronin,49.3433333333,20.0030555556
Chojnice,53.6878222222,17.5756277778
Gdańsk Żabianka-AWFiS,54.4205555556,18.5686111111
Sopot Wyścigi,54.43125,18.5654166667
Sopot Kamienny Potok,54.4577777778,18.5535277778
Reda Pieleszewo,54.6025,18.3172222222
Rumia Janowo,54.5586111111,18.4055555556
Gdańsk Brzeźno,54.4055055556,18.6562972222
Lipińskie Małe,53.7368055556,22.3970555556
Sierpc,52.8480555556,19.6541666667
Krosno,49.6938888889,21.7475
Bielsko-Biała Górne,49.8273944444,19.0253833333
Oleszyce,50.1571388889,23.0366944444
Goleniów,53.5594444444,14.8397222222
Zblewo,53.9427916667,18.3058333333
Legnica Piekary,51.2080555556,16.1991666667
Legnica Północna,51.2186111111,16.1697222222
Łaznów,51.6321666667,19.7558888889
Gorzów Wielkopolski Wieprzyce,52.7175194444,15.1808416667
Bobrowniki,52.0588888889,20.0105555556
Barucice,50.9816416667,17.5578694444
Baciuty,53.0500805556,22.9887194444
Biłgoraj,50.5517333333,22.7330722222
Kostów,51.165146,18.147316
Chełm Miasto,51.1383333333,23.4588888889
Komorów,52.1477777778,20.8111111111
Moszczenica Pomorska,53.6419444444,17.4877777778
Kozielaski,52.3438888889,16.1880555556
Rokiciny,51.66775,19.7805277778
Bodzewko,51.8361111111,17.0613888889
Mietków,50.9845583333,16.6550055556
Jaworzno koło Wielunia,51.0144444444,18.6522222222
Jakubowice,50.81,21.6658333333
Płytnica,53.295,16.7505555556
Szczedrzykowice,51.2150166667,16.3516805556
Czernica Wrocławska,51.0497222222,17.2388888889
Ząbkowice Śląskie,50.5974,16.81228
Suchacz Zamek,54.2852972222,19.4375222222
Brzózki,52.1047222222,20.6777777778
Smardy,50.9913888889,18.1469444444
Nowa Wieś Warszawska,52.1402777778,20.795
Siechnice,51.0383333333,17.1455555556
Dunowo,54.1222222222,16.0919444444
Bydgoszcz Osowa Góra,53.1480555556,17.9125
Staniszcze Małe,50.6638888889,18.32
Bąków,50.9561111111,18.3141666667
Sadowice Wrocławskie,51.0562027778,16.8251444444
Legionowo Przystanek,52.41,20.9194444444
Oława,50.9311111111,17.2969444444
Ełk Szyba Wschód,53.7995,22.3736944444
Nowa Grobla,50.08875,22.9934166667
Muszyna Zdrój,49.3578027778,20.8964111111
Podstolice,52.3422222222,17.4786111111
Zubki,53.0842416667,23.8018166667
Nosówko,54.0925,16.0519444444
Kanie Helenowskie,52.1313888889,20.7741666667
Toruń Główny,52.9999277778,18.6139805556
Toruń Miasto,53.0118861111,18.6197777778
Toruń Kluczyki,52.9897222222,18.5775
Toruń Północny,53.0342833333,18.5885333333
Toruń Zachodni,53.0181277778,18.5798972222
Barbarka,53.0561111111,18.5541666667
Toruń Czerniewice,52.9752777778,18.6736111111
Toruń Elana,53.045,18.6619444444
Samborowo,53.6716666667,19.8183333333
Fosowskie,50.6594444444,18.3619444444
Włocławek Zazamcze,52.6683333333,19.0377777778
Nowa Iwiczna,52.0897222222,20.9958333333
Brwinów,52.1419444444,20.7177777778
Górzyniec,50.8594444444,15.5697222222
